"","long","lat","freq"
"450",148.5,-31,740
"449",148,-31,696
"373",148,-32,671
"864",146.5,-25.5,607
"361",142,-32,598
"902",146.5,-25,585
"1012",144.5,-23.5,564
"521",146,-30,563
"1011",144,-23.5,557
"704",142.5,-27.5,547
"820",143.5,-26,547
"857",143,-25.5,542
"411",148,-31.5,526
"525",148,-30,513
"668",143.5,-28,496
"972",143.5,-24,494
"705",143,-27.5,458
"410",147.5,-31.5,452
"360",141.5,-32,436
"487",148,-30.5,436
"488",148.5,-30.5,432
"551",142,-29.5,420
"218",146.5,-34,418
"938",145.5,-24.5,413
"567",150,-29.5,412
"254",145.5,-33.5,407
"564",148.5,-29.5,405
"782",143.5,-26.5,404
"895",143,-25,404
"826",146.5,-26,399
"603",149,-29,394
"101",145,-35.5,392
"792",148.5,-26.5,392
"741",142,-27,391
"439",143,-31,387
"589",142,-29,382
"528",149.5,-30,381
"901",146,-25,379
"604",149.5,-29,371
"783",144,-26.5,370
"856",142.5,-25.5,369
"402",143.5,-31.5,368
"743",143,-27,366
"180",146.5,-34.5,361
"678",148.5,-28,360
"627",142,-28.5,359
"522",146.5,-30,356
"409",147,-31.5,354
"974",144.5,-24,352
"1050",144.5,-23,352
"1049",144,-23,351
"448",147.5,-31,350
"703",142,-27.5,350
"784",144.5,-26.5,350
"640",148.5,-28.5,349
"513",142,-30,348
"1088",144.5,-22.5,348
"398",141.5,-31.5,347
"324",142.5,-32.5,346
"1094",147.5,-22.5,346
"142",146.5,-35,342
"1084",142.5,-22.5,339
"854",141.5,-25.5,338
"515",143,-30,337
"520",145.5,-30,336
"600",147.5,-29,336
"863",146,-25.5,330
"812",139.5,-26,328
"412",148.5,-31.5,327
"475",142,-30.5,326
"934",143.5,-24.5,326
"973",144,-24,325
"334",147.5,-32.5,320
"937",145,-24.5,315
"103",146,-35.5,314
"485",147,-30.5,313
"853",141,-25.5,309
"1057",148,-23,309
"1051",145,-23,308
"177",145,-34.5,307
"478",143.5,-30.5,307
"554",143.5,-29.5,307
"559",146,-29.5,306
"755",149,-27,305
"215",145,-34,304
"255",146,-33.5,304
"566",149.5,-29.5,301
"1086",143.5,-22.5,301
"814",140.5,-26,300
"401",143,-31.5,295
"601",148,-29,293
"1041",140,-23,293
"666",142.5,-28,291
"936",144.5,-24.5,291
"749",146,-27,290
"711",146,-27.5,288
"565",149,-29.5,287
"141",146,-35,286
"523",147,-30,284
"437",142,-31,283
"855",142,-25.5,283
"935",144,-24.5,281
"372",147.5,-32,279
"793",149,-26.5,279
"1042",140.5,-23,278
"477",143,-30.5,277
"527",149,-30,276
"701",141,-27.5,276
"780",142.5,-26.5,276
"781",143,-26.5,276
"791",148,-26.5,276
"787",146,-26.5,275
"139",145,-35,274
"325",143,-32.5,274
"216",145.5,-34,271
"662",140.5,-28,269
"256",146.5,-33.5,267
"815",141,-26,267
"777",141,-26.5,266
"568",150.5,-29.5,265
"290",144.5,-33,263
"669",144,-28,262
"896",143.5,-25,261
"295",147,-33,260
"561",147,-29.5,260
"606",150.5,-29,259
"739",141,-27,259
"288",143.5,-33,257
"746",144.5,-27,257
"253",145,-33.5,256
"976",145.5,-24,256
"102",145.5,-35.5,254
"489",149,-30.5,253
"927",140,-24.5,253
"891",141,-25,252
"217",146,-34,251
"673",146,-28,251
"850",139.5,-25.5,250
"1085",143,-22.5,250
"371",147,-32,248
"859",144,-25.5,247
"933",143,-24.5,246
"1132",147.5,-22,246
"562",147.5,-29.5,243
"830",148.5,-26,243
"296",147.5,-33,242
"100",144.5,-35.5,241
"440",143.5,-31,239
"897",144,-25,239
"553",143,-29.5,238
"643",150,-28.5,237
"181",147,-34.5,236
"1013",145,-23.5,235
"374",148.5,-32,232
"248",142.5,-33.5,230
"563",148,-29.5,225
"629",143,-28.5,225
"318",139.5,-32.5,224
"104",146.5,-35.5,222
"286",142.5,-33,222
"825",146,-26,220
"719",150,-27.5,219
"209",142,-34,218
"335",148,-32.5,218
"776",140.5,-26.5,218
"642",149.5,-28.5,217
"1004",140.5,-23.5,216
"526",148.5,-30,215
"641",149,-28.5,215
"529",150,-30,213
"754",148.5,-27,212
"219",147,-34,211
"1045",142,-23,211
"582",138.5,-29,210
"555",144,-29.5,208
"894",142.5,-25,207
"939",146,-24.5,207
"1082",141.5,-22.5,207
"257",147,-33.5,206
"517",144,-30,205
"289",144,-33,204
"822",144.5,-26,204
"942",147.5,-24.5,201
"447",147,-31,200
"481",145,-30.5,198
"634",145.5,-28.5,197
"851",140,-25.5,197
"178",145.5,-34.5,196
"982",148.5,-24,196
"486",147.5,-30.5,195
"900",145.5,-25,195
"552",142.5,-29.5,194
"476",142.5,-30.5,193
"1048",143.5,-23,193
"560",146.5,-29.5,191
"742",142.5,-27,191
"635",146,-28.5,189
"819",143,-26,188
"451",149,-31,187
"179",146,-34.5,183
"628",142.5,-28.5,182
"757",150,-27,182
"176",144.5,-34.5,181
"249",143,-33.5,181
"708",144.5,-27.5,181
"1006",141.5,-23.5,181
"400",142.5,-31.5,176
"680",149.5,-28,176
"926",139.5,-24.5,176
"981",148,-24,176
"174",143.5,-34.5,175
"626",141.5,-28.5,175
"327",144,-32.5,173
"967",141,-24,173
"140",145.5,-35,170
"506",138.5,-30,169
"62",144.5,-36,168
"756",149.5,-27,168
"888",139.5,-25,168
"966",140.5,-24,168
"1019",148,-23.5,168
"470",139.5,-30.5,167
"436",141.5,-31,166
"944",148.5,-24.5,166
"1131",147,-22,166
"438",142.5,-31,165
"945",149,-24.5,165
"509",140,-30,164
"833",150,-26,164
"907",149,-25,164
"789",147,-26.5,161
"294",146.5,-33,160
"403",144,-31.5,159
"1201",144,-21,159
"795",150,-26.5,158
"644",150.5,-28.5,157
"596",145.5,-29,154
"827",147,-26,154
"136",143.5,-35,153
"717",149,-27.5,153
"399",142,-31.5,152
"545",139,-29.5,152
"818",142.5,-26,152
"359",141,-32,150
"597",146,-29,150
"932",142.5,-24.5,150
"790",147.5,-26.5,149
"971",143,-24,149
"173",143,-34.5,147
"1123",143,-22,147
"550",141.5,-29.5,146
"605",150,-29,146
"1002",139.5,-23.5,146
"602",148.5,-29,145
"639",148,-28.5,145
"664",141.5,-28,145
"672",145.5,-28,145
"928",140.5,-24.5,145
"137",144,-35,143
"543",138,-29.5,143
"964",139.5,-24,143
"1081",141,-22.5,143
"468",138.5,-30.5,142
"665",142,-28,142
"333",147,-32.5,141
"363",143,-32,141
"507",139,-30,141
"1010",143.5,-23.5,138
"702",141.5,-27.5,135
"322",141.5,-32.5,134
"392",138.5,-31.5,134
"906",148.5,-25,134
"432",139.5,-31,133
"716",148.5,-27.5,133
"865",147,-25.5,133
"671",145,-28,130
"1122",142.5,-22,130
"430",138.5,-31,129
"547",140,-29.5,129
"753",148,-27,128
"1125",144,-22,128
"252",144.5,-33.5,127
"397",141,-31.5,126
"892",141.5,-25,125
"1044",141.5,-23,125
"356",139.5,-32,124
"1014",145.5,-23.5,123
"251",144,-33.5,121
"354",138.5,-32,120
"524",147.5,-30,120
"546",139.5,-29.5,120
"682",150.5,-28,120
"557",145,-29.5,118
"774",139.5,-26.5,118
"1384",140.5,-18.5,118
"63",145,-36,117
"316",138.5,-32.5,117
"670",144.5,-28,117
"788",146.5,-26.5,117
"1234",141.5,-20.5,117
"890",140.5,-25,116
"138",144.5,-35,115
"454",150.5,-31,115
"829",148,-26,114
"862",145.5,-25.5,114
"408",146.5,-31.5,113
"735",139,-27,113
"1003",140,-23.5,113
"364",143.5,-32,112
"558",145.5,-29.5,112
"1046",142.5,-23,112
"319",140,-32.5,111
"365",144,-32,111
"943",148,-24.5,111
"453",150,-31,110
"482",145.5,-30.5,110
"594",144.5,-29,110
"491",150,-30.5,109
"442",144.5,-31,108
"868",148.5,-25.5,108
"172",142.5,-34.5,107
"394",139.5,-31.5,107
"700",140.5,-27.5,107
"821",144,-26,105
"794",149.5,-26.5,104
"869",149,-25.5,104
"1423",141,-18,104
"284",141.5,-33,102
"326",143.5,-32.5,102
"588",141.5,-29,101
"1159",142,-21.5,101
"358",140.5,-32,100
"511",141,-30,100
"212",143.5,-34,99
"1080",140.5,-22.5,99
"930",141.5,-24.5,98
"1043",141,-23,98
"211",143,-34,97
"1235",142,-20.5,97
"362",142.5,-32,96
"736",139.5,-27,96
"740",141.5,-27,96
"297",148,-33,95
"681",150,-28,94
"1005",141,-23.5,94
"1016",146.5,-23.5,94
"1385",141,-18.5,94
"258",147.5,-33.5,92
"291",145,-33,91
"598",146.5,-29,91
"663",141,-28,91
"413",149,-31.5,90
"620",138.5,-28.5,90
"624",140.5,-28.5,90
"720",150.5,-27.5,90
"490",149.5,-30.5,89
"824",145.5,-26,89
"247",142,-33.5,88
"832",149.5,-26,88
"1087",144,-22.5,88
"287",143,-33,87
"473",141,-30.5,87
"1126",144.5,-22,87
"483",146,-30.5,86
"745",144,-27,86
"1232",140.5,-20.5,86
"514",142.5,-30,85
"1095",148,-22.5,85
"744",143.5,-27,84
"143",147,-35,83
"317",139,-32.5,83
"599",147,-29,83
"556",144.5,-29.5,82
"592",143.5,-29,82
"175",144,-34.5,81
"530",150.5,-30,81
"651",135,-28,81
"1153",139,-21.5,81
"1161",143,-21.5,81
"508",139.5,-30,80
"544",138.5,-29.5,80
"778",141.5,-26.5,80
"407",146,-31.5,79
"492",150.5,-30.5,79
"1124",143.5,-22,79
"679",149,-28,78
"1040",139.5,-23,78
"65",146,-36,77
"435",141,-31,76
"587",141,-29,76
"1056",147.5,-23,76
"1345",140,-19,76
"585",140,-29,75
"658",138.5,-28,75
"707",144,-27.5,75
"831",149,-26,75
"415",150,-31.5,74
"1083",142,-22.5,74
"676",147.5,-28,73
"246",141.5,-33.5,72
"250",143.5,-33.5,72
"479",144,-30.5,72
"718",149.5,-27.5,72
"785",145,-26.5,71
"1055",147,-23,71
"1236",142.5,-20.5,71
"328",144.5,-32.5,70
"593",144,-29,70
"623",140,-28.5,70
"946",149.5,-24.5,70
"1015",146,-23.5,70
"1152",138.5,-21.5,70
"903",147,-25,69
"975",145,-24,69
"1237",143,-20.5,69
"1009",143,-23.5,66
"1158",141.5,-21.5,66
"323",142,-32.5,65
"871",150,-25.5,64
"1162",143.5,-21.5,64
"370",146.5,-32,63
"715",148,-27.5,63
"1265",138,-20,63
"292",145.5,-33,62
"575",135,-29,62
"677",148,-28,61
"696",138.5,-27.5,61
"1164",144.5,-21.5,61
"406",145.5,-31.5,60
"519",145,-30,60
"1020",148.5,-23.5,60
"1200",143.5,-21,60
"1307",140,-19.5,60
"512",141.5,-30,59
"1119",141,-22,59
"66",146.5,-36,58
"542",137.5,-29.5,58
"586",140.5,-29,57
"861",145,-25.5,57
"293",146,-33,56
"505",138,-30,56
"633",145,-28.5,56
"779",142,-26.5,56
"813",140,-26,56
"940",146.5,-24.5,56
"1199",143,-21,56
"1375",136,-18.5,56
"690",135.5,-27.5,54
"941",147,-24.5,54
"210",142.5,-34,53
"220",147.5,-34,53
"259",148,-33.5,53
"583",139,-29,53
"786",145.5,-26.5,53
"1160",142.5,-21.5,53
"1346",140.5,-19,53
"214",144.5,-34,52
"331",146,-32.5,52
"1093",147,-22.5,52
"1271",141,-20,52
"1195",141,-21,51
"213",144,-34,50
"636",146.5,-28.5,50
"1338",136.5,-19,50
"182",147.5,-34.5,49
"675",147,-28,49
"929",141,-24.5,49
"1263",137,-20,49
"375",149,-32,48
"661",140,-28,48
"687",134,-27.5,47
"1116",139.5,-22,47
"64",145.5,-36,46
"376",149.5,-32,46
"465",137,-30.5,46
"1089",145,-22.5,46
"1233",141,-20.5,46
"1382",139.5,-18.5,46
"503",137,-30,45
"1018",147.5,-23.5,45
"99",144,-35.5,44
"332",146.5,-32.5,44
"389",137,-31.5,44
"405",145,-31.5,44
"414",149.5,-31.5,44
"484",146.5,-30.5,44
"816",141.5,-26,44
"1230",139.5,-20.5,44
"759",151,-27,43
"889",140,-25,43
"1121",142,-22,43
"613",135,-28.5,42
"650",134.5,-28,42
"758",150.5,-27,42
"1078",139.5,-22.5,42
"1114",138.5,-22,42
"1269",140,-20,42
"474",141.5,-30.5,41
"638",147.5,-28.5,41
"713",147,-27.5,41
"908",149.5,-25,41
"1308",140.5,-19.5,41
"1412",135.5,-18,41
"1461",141,-17.5,41
"516",143.5,-30,40
"817",142,-26,40
"1039",139,-23,40
"1189",138,-21,40
"1133",148,-22,39
"1272",141.5,-20,39
"355",139,-32,38
"444",145.5,-31,38
"631",144,-28.5,38
"1197",142,-21,38
"1202",144.5,-21,38
"427",137,-31,37
"537",135,-29.5,37
"1058",148.5,-23,37
"404",144.5,-31.5,36
"615",136,-28.5,36
"1299",136,-19.5,36
"1383",140,-18.5,36
"183",148,-34.5,35
"279",139,-33,35
"357",140,-32,35
"462",135.5,-30.5,35
"541",137,-29.5,35
"578",136.5,-29,35
"674",146.5,-28,35
"978",146.5,-24,35
"1264",137.5,-20,35
"352",137.5,-32,34
"425",136,-31,34
"518",144.5,-30,34
"595",145,-29,34
"796",150.5,-26.5,34
"1163",144,-21.5,34
"1422",140.5,-18,34
"649",134,-28,33
"653",136,-28,33
"751",147,-27,33
"852",140.5,-25.5,33
"870",149.5,-25.5,33
"1017",147,-23.5,33
"445",146,-31,32
"499",135,-30,32
"752",147.5,-27,32
"899",145,-25,32
"446",146.5,-31,31
"1117",140,-22,31
"1309",141,-19.5,31
"1420",139.5,-18,31
"208",141.5,-34,30
"980",147.5,-24,30
"1052",145.5,-23,30
"1079",140,-22.5,30
"1157",141,-21.5,30
"803",135,-26,29
"858",143.5,-25.5,29
"549",141,-29.5,28
"1077",139,-22.5,28
"1115",139,-22,28
"1193",140,-21,28
"1266",138.5,-20,28
"320",140.5,-32.5,27
"577",136,-29,27
"1154",139.5,-21.5,27
"1196",141.5,-21,27
"1229",139,-20.5,27
"1267",139,-20,27
"1343",139,-19,27
"207",141,-34,26
"441",144,-31,26
"750",146.5,-27,26
"909",150,-25,26
"1337",136,-19,26
"714",147.5,-27.5,25
"1381",139,-18.5,25
"285",142,-33,24
"369",146,-32,24
"773",139,-26.5,24
"947",150,-24.5,24
"1273",142,-20,24
"278",138.5,-33,23
"630",143.5,-28.5,23
"823",145,-26,23
"1054",146.5,-23,23
"1228",138.5,-20.5,23
"315",138,-32.5,22
"697",139,-27.5,22
"721",151,-27.5,22
"1339",137,-19,22
"134",142.5,-35,21
"336",148.5,-32.5,21
"424",135.5,-31,21
"766",135.5,-26.5,21
"1091",146,-22.5,21
"1301",137,-19.5,21
"1303",138,-19.5,21
"221",148,-34,20
"500",135.5,-30,20
"1090",145.5,-22.5,20
"1421",140,-18,20
"171",142,-34.5,19
"625",141,-28.5,19
"724",133.5,-27,19
"726",134.5,-27,19
"811",139,-26,19
"1076",138.5,-22.5,19
"1347",141,-19,19
"98",143.5,-35.5,18
"135",143,-35,18
"426",136.5,-31,18
"452",149.5,-31,18
"504",137.5,-30,18
"576",135.5,-29,18
"699",140,-27.5,18
"965",140,-24,18
"1231",140,-20.5,18
"1261",136,-20,18
"416",150.5,-31.5,17
"464",136.5,-30.5,17
"689",135,-27.5,17
"727",135,-27,17
"801",134,-26,17
"860",144.5,-25.5,17
"1092",146.5,-22.5,17
"1188",137.5,-21,17
"1192",139.5,-21,17
"1226",137.5,-20.5,17
"1298",135.5,-19.5,17
"1386",141.5,-18.5,17
"797",151,-26.5,16
"840",134.5,-25.5,16
"1053",146,-23,16
"1113",138,-22,16
"1270",140.5,-20,16
"1492",137.5,-17,16
"314",137.5,-32.5,15
"329",145,-32.5,15
"367",145,-32,15
"395",140,-31.5,15
"480",144.5,-30.5,15
"574",134.5,-29,15
"607",151,-29,15
"722",151.5,-27.5,15
"765",135,-26.5,15
"800",133.5,-26,15
"828",147.5,-26,15
"1198",142.5,-21,15
"1262",136.5,-20,15
"1380",138.5,-18.5,15
"431",139,-31,14
"443",145,-31,14
"612",134.5,-28.5,14
"799",133,-26,14
"1340",137.5,-19,14
"1413",136,-18,14
"1527",136,-16.5,14
"393",139,-31.5,13
"686",133.5,-27.5,13
"970",142.5,-24,13
"977",146,-24,13
"1194",140.5,-21,13
"1281",146,-20,13
"1310",141.5,-19.5,13
"501",136,-30,12
"611",134,-28.5,12
"762",133.5,-26.5,12
"979",147,-24,12
"1155",140,-21.5,12
"1190",138.5,-21,12
"1304",138.5,-19.5,12
"1374",135.5,-18.5,12
"245",141,-33.5,11
"388",136.5,-31.5,11
"581",138,-29,11
"738",140.5,-27,11
"1227",138,-20.5,11
"1336",135.5,-19,11
"1450",135.5,-17.5,11
"1529",137,-16.5,11
"1566",136.5,-16,11
"170",141.5,-34.5,10
"299",149,-33,10
"493",151,-30.5,10
"1169",147,-21.5,10
"1206",146.5,-21,10
"1274",142.5,-20,10
"1342",138.5,-19,10
"61",144,-36,9
"144",147.5,-35,9
"280",139.5,-33,9
"377",150,-32,9
"502",136.5,-30,9
"540",136.5,-29.5,9
"632",144.5,-28.5,9
"652",135.5,-28,9
"683",151,-28,9
"866",147.5,-25.5,9
"1297",135,-19.5,9
"1341",138,-19,9
"1376",136.5,-18.5,9
"1419",139,-18,9
"169",141,-34.5,8
"243",140,-33.5,8
"469",139,-30.5,8
"761",133,-26.5,8
"1047",143,-23,8
"1075",138,-22.5,8
"1411",135,-18,8
"1453",137,-17.5,8
"1488",135.5,-17,8
"1565",136,-16,8
"105",147,-35.5,7
"168",140.5,-34.5,7
"204",139.5,-34,7
"337",149,-32.5,7
"366",144.5,-32,7
"396",140.5,-31.5,7
"728",135.5,-27,7
"748",145.5,-27,7
"983",149,-24,7
"1305",139,-19.5,7
"1335",135,-19,7
"1344",139.5,-19,7
"59",143,-36,6
"97",143,-35.5,6
"260",148.5,-33.5,6
"321",141,-32.5,6
"378",150.5,-32,6
"645",151,-28.5,6
"1021",149,-23.5,6
"1170",147.5,-21.5,6
"1242",145.5,-20.5,6
"1371",134,-18.5,6
"1408",133.5,-18,6
"1409",134,-18,6
"1418",138.5,-18,6
"1456",138.5,-17.5,6
"1493",138,-17,6
"60",143.5,-36,5
"145",148,-35,5
"205",140,-34,5
"282",140.5,-33,5
"455",151,-31,5
"684",151.5,-28,5
"725",134,-27,5
"948",150.5,-24.5,5
"986",150.5,-24,5
"1118",140.5,-22,5
"1130",146.5,-22,5
"1151",138,-21.5,5
"1203",145,-21,5
"1296",134.5,-19.5,5
"1333",134,-19,5
"1410",134.5,-18,5
"1414",136.5,-18,5
"1489",136,-17,5
"330",145.5,-32.5,4
"368",145.5,-32,4
"712",146.5,-27.5,4
"904",147.5,-25,4
"1008",142.5,-23.5,4
"1022",149.5,-23.5,4
"1120",141.5,-22,4
"1127",145,-22,4
"1165",145,-21.5,4
"1172",148.5,-21.5,4
"1275",143,-20,4
"1491",137,-17,4
"1567",137,-16,4
"206",140.5,-34,3
